** Cluster Picker Results **
Cluster Picker v 1.2.5
Input sequences =	\\wsl.localhost\Ubuntu-20.04\home\gabalves\ClusterPicker\Corrigido\ALRT90\alnedited_subtypeF1.fasta
Input tree =	\\wsl.localhost\Ubuntu-20.04\home\gabalves\ClusterPicker\Corrigido\ALRT90\alnedited_subtypeF1.nwk
Initial support threshold=	90.0
Support threshold=	90.0
Genetic distance threshold=	0.02
Large cluster threshold=	2147483647
-------------------------
** Sequences with cluster assignment output with new names
** Tree modified to contain new names
** new names have form: Clust(C)_(SequenceName) where C = cluster number, e.g. Clust25_139320
-------------------------
Output sequences =	\\wsl.localhost\Ubuntu-20.04\home\gabalves\ClusterPicker\Corrigido\ALRT90\alnedited_subtypeF1ta_alnedited_subtypeF1_clusterPicks.fas
Output tree=	\\wsl.localhost\Ubuntu-20.04\home\gabalves\ClusterPicker\Corrigido\ALRT90\alnedited_subtypeF1_clusterPicks.nwk
Output figtree=	\\wsl.localhost\Ubuntu-20.04\home\gabalves\ClusterPicker\Corrigido\ALRT90\alnedited_subtypeF1_clusterPicks.nwk.figTree
-------------------------
There are	4493	sequences
Tree has	4493	tips
Found	281	clusters
ClusterNumber	NumberOfTips	NumberOfTipsCheck	TipNames	Bootstrap	GD
51	2	2	[MN971894|Brazil|Maranhao|2017-01-15, KEXV01034359|Brazil|Maranhao|2017-01-15]	100.0	0.0
52	2	2	[KEXV01011595|Brazil|SaoPaulo|2015-01-15, MN236506|Brazil|SaoPaulo|2015-01-15]	100.0	0.0
53	2	2	[KEXV01011976|Brazil|SaoPaulo|2015-01-15, MN236891|Brazil|SaoPaulo|2015-01-15]	95.4	0.0
54	2	2	[KX357299|Brazil|RioDeJaneiro|NovaIguacu|2015-01-15, KX357303|Brazil|RioDeJaneiro|NovaIguacu|2015-01-15]	99.8	0.01568627450980392
55	2	2	[EU552971|Romania|2003-01-15, EU553242|Romania|2006-01-15]	100.0	0.006862745098039216
56	2	2	[JN196018|Brazil|SaoPaulo|SaoPaulo|2010-01-15, KEXV01015889|Brazil|SaoPaulo|2015-01-15]	95.9	0.0196078431372549
57	2	2	[KEXV01011507|Brazil|SaoPaulo|2014-01-15, MN236025|Brazil|SaoPaulo|2014-01-15]	100.0	0.0
58	4	4	[MF403324|Spain|2012-01-15, MF403297|Spain|Valencia|2013-01-15, MF403322|Spain|Valencia|2013-01-15, MF403328|Spain|Valencia|2013-01-15]	97.6	0.016666666666666666
59	2	2	[KC352099|China|2007-01-15, KT378870|China|2009-01-15]	97.4	0.01764705882352941
60	2	2	[KEXV01036359|Brazil|Para|2017-01-15, KEXV01036430|Brazil|Para|2017-01-15]	100.0	0.00980392156862745
61	2	2	[KU052741|FrenchGuiana|2006-01-15, MT741463|FrenchGuiana|2015-01-15]	93.0	0.016666666666666666
62	2	2	[KEXV01011797|Brazil|SaoPaulo|2015-01-15, MN236698|Brazil|SaoPaulo|2015-01-15]	97.8	0.0
63	2	2	[KEXV01011454|Brazil|SaoPaulo|2014-01-15, MN236061|Brazil|SaoPaulo|2014-01-15]	100.0	0.0
64	2	2	[DQ189088|Argentina|2002-01-15, JN671057|Argentina|2006-01-15]	97.4	0.016666666666666666
65	2	2	[JF342291|Brazil|MatoGrossoDoSul|CampoGrande|2008-01-15, MF545204|Brazil|MatoGrossoDoSul|2011-01-15]	99.6	0.00980392156862745
66	2	2	[KEXV01044466|Brazil|SaoPaulo|2016-01-15, KEXV01044667|Brazil|SaoPaulo|2016-01-15]	91.0	0.01764705882352941
67	2	2	[MT788008|Italy|2014-01-15, MT788026|Italy|2014-01-15]	100.0	0.0029411764705882353
68	2	2	[KEXV01011583|Brazil|SaoPaulo|2015-01-15, KEXV01015582|Brazil|SaoPaulo|2015-01-15]	96.9	0.01568627450980392
69	3	3	[KY640117|Brazil|SaoPaulo|2015-01-15, KEXV01011683|Brazil|SaoPaulo|2015-01-15, MN237400|Brazil|SaoPaulo|2015-01-15]	100.0	0.0
70	2	2	[KEXV01044224|Brazil|SaoPaulo|2016-01-15, MN237047|Brazil|SaoPaulo|2015-01-15]	100.0	0.00980392156862745
71	3	3	[KY640032|Brazil|SaoPaulo|2015-01-15, KEXV01011926|Brazil|SaoPaulo|2015-01-15, MN236835|Brazil|SaoPaulo|2015-01-15]	100.0	0.0
72	4	4	[KY639892|Brazil|SaoPaulo|2014-01-15, KEXV01011455|Brazil|SaoPaulo|2014-01-15, MN236079|Brazil|SaoPaulo|2014-01-15, MN237216|Brazil|SaoPaulo|2017-01-15]	100.0	0.004901960784313725
73	2	2	[MF545199|Brazil|MatoGrossoDoSul|2011-01-15, MF545202|Brazil|MatoGrossoDoSul|2011-01-15]	100.0	0.018627450980392157
74	2	2	[KEXV01002713|Brazil|Maranhao|2015-01-15, MN971885|Brazil|Maranhao|2015-01-15]	97.5	9.80392156862745E-4
75	3	3	[KEXV01011821|Brazil|SaoPaulo|2015-01-15, MN236732|Brazil|SaoPaulo|2015-01-15, KY640016|Brazil|SaoPaulo|2015-01-15]	100.0	0.0
76	2	2	[KEXV01002594|Brazil|Goias|2015-01-15, KEXV01033385|Brazil|DistritoFederal|2016-01-15]	100.0	0.01568627450980392
77	2	2	[KEXV01011779|Brazil|SaoPaulo|2015-01-15, MN236669|Brazil|SaoPaulo|2015-01-15]	99.8	0.0
78	2	2	[KEXV01044374|Brazil|SaoPaulo|2016-01-15, MN237460|Brazil|SaoPaulo|2015-01-15]	99.8	0.0058823529411764705
79	2	2	[KY639917|Brazil|SaoPaulo|2014-01-15, MN236213|Brazil|SaoPaulo|2014-01-15]	99.9	0.0
80	2	2	[EU189718|Brazil|SaoPaulo|2005-01-15, AY643247|Brazil|SaoPaulo|2003-01-15]	100.0	0.00980392156862745
81	2	2	[KY639862|Brazil|SaoPaulo|2014-01-15, MN235963|Brazil|SaoPaulo|2014-01-15]	100.0	0.0
82	2	2	[MN971893|Brazil|Maranhao|2016-01-15, KEXV01034193|Brazil|Maranhao|2016-01-15]	98.7	0.0
83	2	2	[KEXV01004962|Brazil|Bahia|2015-01-15, KEXV01004963|Brazil|Bahia|2015-01-15]	100.0	0.006862745098039216
84	2	2	[KEXV01044196|Brazil|SaoPaulo|2016-01-15, MN237272|Brazil|SaoPaulo|2017-01-15]	100.0	0.004901960784313725
85	2	2	[KP115536|Brazil|SaoPaulo|2014-01-15, KEXV01016225|Brazil|SaoPaulo|2015-01-15]	96.9	0.01568627450980392
86	2	2	[MH673181|Brazil|Amazonas|2015-01-15, MN528359|Brazil|Para|2014-01-15]	99.1	0.0058823529411764705
87	2	2	[KEXV01030912|Brazil|Parana|2015-01-15, KEXV01030913|Brazil|Parana|2015-01-15]	99.8	0.012745098039215686
88	2	2	[KY639968|Brazil|SaoPaulo|2014-01-15, MN236424|Brazil|SaoPaulo|2014-01-15]	100.0	0.0
89	2	2	[KY640059|Brazil|SaoPaulo|2015-01-15, MN236980|Brazil|SaoPaulo|2015-01-15]	99.9	0.0
90	2	2	[KEXV01011946|Brazil|SaoPaulo|2015-01-15, MN236853|Brazil|SaoPaulo|2015-01-15]	100.0	0.0
91	2	2	[KY640030|Brazil|SaoPaulo|2015-01-15, MN236820|Brazil|SaoPaulo|2015-01-15]	100.0	0.0
92	2	2	[KY581423|Brazil|Bahia|2014-01-15, KEXV01007669|Brazil|Bahia|2014-01-15]	99.9	0.0
93	3	3	[GQ400186|Austria|2004-01-15, GQ400234|Austria|2004-01-15, JX300203|Austria|2007-01-15]	92.8	0.018627450980392157
94	2	2	[KEXV01036726|Brazil|Pernambuco|2016-01-15, KEXV01037268|Brazil|Pernambuco|2017-01-15]	99.7	0.016666666666666666
95	2	2	[KEXV01037731|Brazil|Parana|2016-01-15, KM851167|Brazil|Parana|2012-01-15]	98.0	0.013725490196078431
96	3	3	[KY640129|Brazil|SaoPaulo|2015-01-15, KEXV01011832|Brazil|SaoPaulo|2015-01-15, MN237422|Brazil|SaoPaulo|2015-01-15]	98.5	0.0
97	2	2	[KEXV01011613|Brazil|SaoPaulo|2015-01-15, KX838562|Brazil|SaoPaulo|2015-01-15]	99.6	0.0
98	2	2	[KT737349|Brazil|Amapa|2014-01-15, KT737353|Brazil|Amapa|2014-01-15]	99.5	0.00980392156862745
99	2	2	[KEXV01007258|Brazil|MinasGerais|2015-01-15, KEXV01007265|Brazil|MinasGerais|2015-01-15]	91.0	0.011764705882352941
100	2	2	[KEXV01011984|Brazil|SaoPaulo|2015-01-15, MN237434|Brazil|SaoPaulo|2015-01-15]	100.0	0.0
101	2	2	[GQ399076|Italy|2003-01-15, GQ399702|Italy|2003-01-15]	99.9	0.014705882352941176
102	2	2	[KEXV01011705|Brazil|SaoPaulo|2015-01-15, MN236584|Brazil|SaoPaulo|2015-01-15]	100.0	0.0
103	2	2	[KEXV01011658|Brazil|SaoPaulo|2015-01-15, MN236547|Brazil|SaoPaulo|2015-01-15]	99.5	0.0
104	2	2	[KY639940|Brazil|SaoPaulo|2014-01-15, MN236299|Brazil|SaoPaulo|2014-01-15]	99.9	0.0
105	3	3	[KY640126|Brazil|SaoPaulo|2015-01-15, KEXV01011758|Brazil|SaoPaulo|2015-01-15, MN236648|Brazil|SaoPaulo|2015-01-15]	100.0	0.0
106	2	2	[MN971874|Brazil|Maranhao|2017-01-15, KEXV01034352|Brazil|Maranhao|2017-01-15]	97.4	0.0
107	2	2	[KEXV01011793|Brazil|SaoPaulo|2015-01-15, MN236694|Brazil|SaoPaulo|2015-01-15]	99.8	0.0
108	2	2	[KT737346|Brazil|Amapa|2014-01-15, KT737352|Brazil|Amapa|2014-01-15]	99.4	9.80392156862745E-4
109	2	2	[KEXV01032389|Brazil|Bahia|2016-01-15, KEXV01032603|Brazil|Bahia|2017-01-15]	100.0	0.004901960784313725
110	2	2	[KT998267|FrenchGuiana|2012-01-15, MT741456|FrenchGuiana|2012-01-15]	99.8	0.0
111	2	2	[KEXV01036039|Brazil|Para|2016-01-15, KX887699|Brazil|Para|2015-01-15]	93.2	0.016666666666666666
112	2	2	[MN528452|Brazil|Para|Bragaca|2017-01-15, MN528228|Brazil|Amapa|2015-01-15]	100.0	0.0
113	2	2	[KY639933|Brazil|SaoPaulo|2014-01-15, MN236282|Brazil|SaoPaulo|2014-01-15]	99.9	0.0
114	2	2	[JQ083028|Romania|2007-01-15, JX301102|Romania|2007-01-15]	98.9	0.00196078431372549
115	2	2	[KEXV01011975|Brazil|SaoPaulo|2015-01-15, MN237433|Brazil|SaoPaulo|2015-01-15]	100.0	0.0
116	2	2	[EU189717|Brazil|SaoPaulo|2005-01-15, MN235976|Brazil|SaoPaulo|2014-01-15]	99.9	0.018627450980392157
117	2	2	[AY643212|Brazil|SaoPaulo|2002-01-15, MN237526|Brazil|SaoPaulo|2016-01-15]	99.8	0.01568627450980392
118	2	2	[MN971881|Brazil|Maranhao|2016-01-15, KEXV01034286|Brazil|Maranhao|2016-01-15]	99.9	0.0
119	2	2	[KY639973|Brazil|SaoPaulo|2015-01-15, MN236462|Brazil|SaoPaulo|2015-01-15]	100.0	0.0
120	2	2	[KEXV01011765|Brazil|SaoPaulo|2015-01-15, MN236658|Brazil|SaoPaulo|2015-01-15]	99.8	0.0
121	2	2	[KEXV01011951|Brazil|SaoPaulo|2015-01-15, MN236863|Brazil|SaoPaulo|2015-01-15]	100.0	0.0
122	2	2	[MN971887|Brazil|Maranhao|2016-01-15, KEXV01034191|Brazil|Maranhao|2016-01-15]	100.0	0.00980392156862745
123	2	2	[KEXV01034752|Brazil|MinasGerais|2016-01-15, KEXV01034801|Brazil|MinasGerais|2016-01-15]	99.9	0.00980392156862745
124	2	2	[EU553037|Romania|2003-01-15, EU553229|Romania|2006-01-15]	99.9	0.0196078431372549
125	2	2	[GQ398920|Italy|2005-01-15, GQ399691|Italy|2004-01-15]	93.9	0.00392156862745098
126	2	2	[KEXV01011865|Brazil|SaoPaulo|2015-01-15, MN236774|Brazil|SaoPaulo|2015-01-15]	100.0	0.0
127	2	2	[KEXV01006922|Brazil|MinasGerais|2014-01-15, KEXV01006927|Brazil|MinasGerais|2014-01-15]	100.0	0.00980392156862745
128	2	2	[KEXV01034957|Brazil|MinasGerais|2016-01-15, KEXV01035355|Brazil|MinasGerais|2017-01-15]	100.0	0.011764705882352941
129	2	2	[JQ083064|Romania|2007-01-15, JQ083065|Romania|2007-01-15]	99.1	0.011764705882352941
130	2	2	[EU189709|Brazil|SaoPaulo|2005-01-15, EU189748|Brazil|SaoPaulo|2006-01-15]	99.3	0.01568627450980392
131	2	2	[KEXV01004957|Brazil|Bahia|2015-01-15, KT951057|Brazil|Bahia|VerificarCidade|2012-01-15]	98.6	0.011764705882352941
132	2	2	[MN133161|Italy|2010-01-15, MN133163|Italy|2011-01-15]	100.0	0.00784313725490196
133	2	2	[KT203257|Brazil|Parana|Curitiba|2015-01-15, KT203258|Brazil|Parana|Curitiba|2015-01-15]	99.8	0.004901960784313725
134	2	2	[KEXV01035986|Brazil|Para|2016-01-15, KEXV01043294|Brazil|SaoPaulo|2016-01-15]	100.0	0.016666666666666666
135	2	2	[KY640101|Brazil|SaoPaulo|2014-01-15, MN237378|Brazil|SaoPaulo|2014-01-15]	100.0	0.0
136	2	2	[JN114208|Brazil|Goias|Goiania|2010-01-15, KEXV01002626|Brazil|Goias|2015-01-15]	99.9	0.01764705882352941
137	4	4	[KY640037|Brazil|SaoPaulo|2015-01-15, KEXV01012006|Brazil|SaoPaulo|2015-01-15, MN236926|Brazil|SaoPaulo|2015-01-15, MN236867|Brazil|SaoPaulo|2015-01-15]	99.7	0.00196078431372549
138	3	3	[ON989270|CY|2018-01-15, ON989337|CY|2019-01-15, ON989274|CY|2018-01-15]	100.0	0.00784313725490196
139	2	2	[MN528220|Brazil|Amapa|2014-01-15, MN528221|Brazil|Amapa|2014-01-15]	100.0	0.0
140	2	2	[EU189727|Brazil|SaoPaulo|2006-01-15, AY643219|Brazil|SaoPaulo|2002-01-15]	99.6	0.011764705882352941
141	2	2	[KEXV01043853|Brazil|SaoPaulo|2016-01-15, KEXV01044487|Brazil|SaoPaulo|2016-01-15]	96.9	0.013725490196078431
142	2	2	[KEXV01012095|Brazil|MatoGrossoDoSul|2015-01-15, KEXV01035646|Brazil|MatoGrossoDoSul|2017-01-15]	100.0	0.014705882352941176
143	2	2	[KEXV01037272|Brazil|Pernambuco|2017-01-15, KEXV01037273|Brazil|Pernambuco|2017-01-15]	98.4	0.0196078431372549
144	2	2	[EU293509|Brazil|SaoPaulo|Santos|2006-01-15, HM118043|Brazil|SaoPaulo|Santos|2006-01-15]	92.5	0.0058823529411764705
145	3	3	[KEXV01011728|Brazil|SaoPaulo|2015-01-15, MN236610|Brazil|SaoPaulo|2015-01-15, MN237311|Brazil|SaoPaulo|2017-01-15]	94.8	0.018627450980392157
146	2	2	[KEXV01011515|Brazil|SaoPaulo|2014-01-15, MN236050|Brazil|SaoPaulo|2014-01-15]	97.9	0.01764705882352941
147	2	2	[KEXV01011805|Brazil|SaoPaulo|2015-01-15, MN236710|Brazil|SaoPaulo|2015-01-15]	100.0	0.0
148	2	2	[MN971886|Brazil|Maranhao|2014-01-15, KEXV01034475|Brazil|Maranhao|2017-01-15]	96.2	0.013725490196078431
149	2	2	[KY640018|Brazil|SaoPaulo|2015-01-15, MN236738|Brazil|SaoPaulo|2015-01-15]	100.0	0.0
150	2	2	[EU552957|Romania|2003-01-15, EU553224|Romania|2006-01-15]	98.8	0.016666666666666666
151	2	2	[JQ083072|Romania|2008-01-15, JQ083074|Romania|2007-01-15]	99.3	0.018627450980392157
152	2	2	[JQ083056|Romania|2007-01-15, JQ083057|Romania|2007-01-15]	98.1	0.01764705882352941
153	2	2	[KY967236|Hungary|2016-01-15, MT571224|UnitedKingdom|2014-01-15]	99.3	0.013725490196078431
154	2	2	[KEXV01032750|Brazil|Bahia|2017-01-15, KT950988|Brazil|Bahia|VerificarCidade|2012-01-15]	100.0	0.01568627450980392
155	2	2	[KY581414|Brazil|Bahia|2014-01-15, KEXV01007662|Brazil|Bahia|2014-01-15]	100.0	0.0
156	2	2	[HQ667668|Italy|2009-01-15, ON611651|Italy|2018-01-15]	95.9	0.016666666666666666
157	2	2	[MT788087|Italy|2015-01-15, MT788154|Italy|2016-01-15]	91.3	0.0058823529411764705
158	2	2	[KY640154|Brazil|SaoPaulo|2014-01-15, MN237388|Brazil|SaoPaulo|2014-01-15]	100.0	0.0
159	2	2	[KJ883136|Spain|2013-01-15, OM914690|Spain|2013-01-15]	93.7	0.0
160	5	5	[KJ883087|Spain|2011-01-15, MN014521|Spain|2014-01-15, KX534326|Spain|2016-01-15, KJ883088|Spain|2011-01-15, KJ883138|Spain|2011-01-15]	99.5	0.014705882352941176
161	3	3	[EU552990|Romania|2003-01-15, EU553041|Romania|2003-01-15, EU553134|Romania|2005-01-15]	99.4	0.011764705882352941
162	4	4	[EF393860|Brazil|RioGrandeDoSul|2005-01-15, EU189744|Brazil|SaoPaulo|2005-01-15, HM024775|Brazil|SaoPaulo|2005-01-15, EF393958|Brazil|SantaCatarina|2006-01-15]	92.2	0.018627450980392157
163	2	2	[KY640110|Brazil|SaoPaulo|2015-01-15, MN237342|Brazil|SaoPaulo|2015-01-15]	100.0	0.0
164	2	2	[MG943639|UnitedStates|2016-01-15, OP655988|UnitedStates|2017-01-15]	92.2	0.014705882352941176
165	2	2	[KEXV01011721|Brazil|SaoPaulo|2015-01-15, MN236602|Brazil|SaoPaulo|2015-01-15]	100.0	0.0
166	2	2	[KEXV01011735|Brazil|SaoPaulo|2015-01-15, MN236620|Brazil|SaoPaulo|2015-01-15]	100.0	0.0
167	2	2	[KC340133|Spain|2008-01-15, KC340134|Spain|2008-01-15]	99.9	0.011764705882352941
168	2	2	[EU553027|Romania|2003-01-15, EU553045|Romania|2003-01-15]	100.0	0.00196078431372549
169	2	2	[KEXV01011482|Brazil|SaoPaulo|2014-01-15, MN237513|Brazil|SaoPaulo|2014-01-15]	100.0	0.0
170	2	2	[EU189728|Brazil|SaoPaulo|2006-01-15, HM025098|Brazil|SaoPaulo|2006-01-15]	100.0	0.00196078431372549
171	2	2	[KEXV01009028|Brazil|RioDeJaneiro|2015-01-15, KEXV01038465|Brazil|RioDeJaneiro|2016-01-15]	93.3	0.00784313725490196
172	2	2	[KEXV01011604|Brazil|SaoPaulo|2015-01-15, MN237395|Brazil|SaoPaulo|2015-01-15]	100.0	0.0
173	3	3	[JQ083023|Romania|2008-01-15, JX300462|Romania|2007-01-15, JQ083038|Romania|2007-01-15]	96.3	0.008823529411764706
174	4	4	[KJ636021|Cyprus|2012-01-15, KJ636022|Cyprus|2012-01-15, MT788233|Italy|2009-01-15, MT788283|Italy|2011-01-15]	98.9	0.014705882352941176
175	2	2	[KEXV01036707|Brazil|Pernambuco|2016-01-15, KEXV01037392|Brazil|Pernambuco|2017-01-15]	99.7	0.010784313725490196
176	2	2	[MN971880|Brazil|Maranhao|2016-01-15, KEXV01034210|Brazil|Maranhao|2016-01-15]	100.0	0.0
177	2	2	[GQ241093|Spain|2006-01-15, GQ241095|Spain|2006-01-15]	100.0	0.008823529411764706
178	2	2	[AY643215|Brazil|SaoPaulo|2002-01-15, KEXV01043661|Brazil|SaoPaulo|2016-01-15]	99.9	0.0196078431372549
